drug,att_improved,att_not_imp,att_diff,att_ratio,is_lipid_drug,category
Fentanyl Citrate,0.012966500790423701,0.012921136600390964,4.536419003273694e-05,1.0035108513620516,False,Other
Pregabalin,0.028530450203479864,0.028498721722927358,3.172848055250574e-05,1.0011133299542687,False,Other
Simvastatin,0.03746377922361717,0.037435415967860645,2.8363255756523598e-05,1.0007576583570188,True,Statin
Nystatin Cream,0.024264385199381247,0.02429601992480457,-3.163472542332124e-05,0.998697946185374,False,Other
DOBUTamine,0.010698775486911045,0.010739945878203098,-4.1170391292052674e-05,0.9961666109160188,False,Other
OxyCODONE (Immediate Release),0.029539139704255347,0.029584489925499922,-4.53502212445743e-05,0.998467094705409,False,Other
Calcium Carbonate,0.031097657013277293,0.03116725591529986,-6.959890202256833e-05,0.9977669223684077,False,Other
Potassium Chloride Replacement (Critical Care and Oncology),0.014953549731509773,0.015084797859099911,-0.00013124812759013858,0.9912993114779485,False,Other
Influenza Vaccine High-Dose Quadrivalent,0.03956573643446178,0.03970750481962706,-0.00014176838516527512,0.9964296828569494,False,Other
Meperidine,0.012278532217207708,0.012425470010687908,-0.0001469377934801997,0.9881744679795766,False,Other
PHENYLephrine,0.012726167390378667,0.012891063815914094,-0.00016489642553542752,0.987208470310118,False,Other
Lidocaine Jelly 2% (Urojet),0.021032658139509813,0.021219493138293424,-0.00018683499878361168,0.9911951243337456,False,Other
Haloperidol,0.02273238277471161,0.022923777500788372,-0.0001913947260767622,0.9916508208095206,False,Other
Ranitidine,0.02589869791999051,0.02609244671475608,-0.00019374879476556986,0.9925745256133455,False,Other
Chlorothiazide,0.011487169180536407,0.011715510363380114,-0.00022834118284370715,0.9805094976009371,False,Other
Heparin,0.031493152396109024,0.03174293688436736,-0.00024978448825833943,0.9921310214877643,False,Anticoagulant
Sucralfate,0.03450186084955931,0.034762604744173586,-0.00026074389461427927,0.9924992992748053,False,Other
Aspirin EC,0.028115876917530532,0.028379447969862005,-0.0002635710523314731,0.9907126082011399,False,Antiplatelet
Chlorthalidone,0.05038079445728579,0.05065146735869348,-0.0002706729014076911,0.9946561686063131,False,Other
Multivitamins W/minerals,0.024561759322110948,0.02484930489833156,-0.00028754557622061305,0.9884284257689671,False,Other
PHENYLEPHrine,0.014737351433090542,0.015071017353470067,-0.0003336659203795247,0.9778604249100211,False,Other
Rivaroxaban,0.03988757964728747,0.04022856350792082,-0.0003409838606333454,0.991523837022761,False,Anticoagulant
Albumin 5%,0.01541948533203039,0.015852361917495728,-0.0004328765854653381,0.9726932435861443,False,Other
Ibuprofen,0.04302368568646353,0.04346864549038203,-0.000444959803918496,0.9897636607053479,False,Other
Ipratropium-Albuterol Neb,0.0213715642096539,0.021817398943791266,-0.0004458347341373646,0.9795651747815595,False,Other
Neomycin Sulfate,0.016329871335377295,0.016778900391525693,-0.0004490290561483985,0.9732384694067805,False,Other
Loratadine,0.03405485500728613,0.0345248264127544,-0.00046997140546826965,0.9863874361061334,False,Other
Memantine,0.03531602770090103,0.035835396964102983,-0.000519369263201952,0.9855068087086571,False,Other
Vancomycin,0.01813899692126499,0.018696209471158666,-0.0005572125498936771,0.9701964962067178,False,Other
Cyanocobalamin,0.028746078145253446,0.029314672586042433,-0.0005685944407889873,0.9806037594614067,False,Other
Milrinone,0.00951433891000656,0.010098325886896678,-0.0005839869768901173,0.9421699216849514,False,Other
Vitamin D,0.03350740467327452,0.034133811340628505,-0.0006264066673539875,0.9816484991639831,False,Other
Calcium Acetate,0.018402926235770185,0.019058232195675373,-0.0006553059599051884,0.9656155957605612,False,Other
OLANZapine,0.02535791109209951,0.02601703247355838,-0.0006591213814588701,0.9746657739644693,False,Other
Dexmedetomidine,0.011512836678461594,0.012177747750312698,-0.0006649110718511039,0.945399503628737,False,Other
LamoTRIgine,0.031560242401375886,0.032230037326614065,-0.0006697949252381791,0.9792183012867598,False,Other
Docusate Sodium,0.03346066948558603,0.0341755644322967,-0.0007148949467106688,0.9790816930580062,False,Other
Lisinopril,0.03485449699179173,0.035581778558043314,-0.0007272815662515836,0.9795602806907138,False,ACE/ARB
Valproate Sodium,0.010161664189868852,0.011000885561640774,-0.0008392213717719216,0.9237132895284157,False,Other
Acetaminophen IV,0.021919180896310578,0.022763395664677163,-0.000844214768366585,0.962913495824501,False,Other
PALIperidone ER,0.0334671875461936,0.034323726780712605,-0.0008565392345190048,0.9750452729101574,False,Other
Vitamin D3 (Cholecalciferol),0.03169399139118716,0.03257415821290996,-0.0008801668217228026,0.972979598859627,False,Other
Azithromycin,0.023278503700601104,0.024213798873170593,-0.0009352951725694891,0.9613734640537624,False,Other
Thiamine,0.023643161792871216,0.024601127588274804,-0.0009579657954035883,0.96106008588565,False,Other
Magnesium Oxide,0.02524332329377775,0.026210424982474567,-0.0009671016886968163,0.963102403362652,False,Other
Protamine Sulfate,0.012438657693564892,0.013437801506370306,-0.0009991438128054142,0.9256467799191883,False,Other
Rocuronium,0.010836200043559074,0.011851275494943062,-0.0010150754513839882,0.914348843563959,False,Other
LOPERamide,0.024472402140804348,0.025510661475556463,-0.0010382593347521146,0.9593009638049981,False,Other
Sodium Zirconium Cyclosilicate,0.018531390804458748,0.019598495836059254,-0.0010671050316005057,0.9455516872046302,False,Other
amLODIPine,0.0353872978729972,0.03649762616194082,-0.0011103282889436197,0.9695780683374566,False,CCB
