drug_name,avg_attention,n_patients,is_lipid_drug
Maalox/Diphenhydramine/Lidocaine,0.0232875603798996,34,False
Metoclopramide,0.023230702386918798,134,False
Fentanyl Patch,0.023202816689653055,35,False
Magnesium Sulfate,0.023200499703438064,1071,False
Oxymetazoline,0.023198789487091396,26,False
Tacrolimus,0.023195485565431263,392,False
Morphine Sulfate IR,0.023170743489990365,37,False
Potassium Citrate,0.02315544816539497,74,False
Torsemide,0.0231211777687983,442,False
Warfarin,0.023086290573701262,992,False
Emtricitabine-Tenofovir alafen (200mg-25mg) *DESCOVY*,0.02304636026647958,11,False
Lidocaine Jelly 2% (Glydo),0.02295138059671314,279,False
Mycophenolate Mofetil,0.02295002873454775,91,False
Docusate Sodium (Liquid),0.022880932346226707,31,False
Neutra-Phos,0.022802872808310844,538,False
Haloperidol,0.02279993385450341,289,False
Vancomycin Oral Liquid,0.022798175140675427,69,False
Collagenase Ointment,0.022756848903372883,20,False
Carvedilol,0.02273972313662972,99,False
Sildenafil,0.022598064737394452,16,False
Ampicillin,0.022353887957121645,21,False
Acetaminophen IV,0.022286181394537235,743,False
Potassium Phosphate,0.022150556522387045,108,False
LACOSamide,0.02207674082826104,57,False
Codeine Sulfate,0.02203835640102625,11,False
Metoprolol Tartrate,0.022034446138711777,1854,False
Rifaximin,0.021970481571295986,23,False
Guaifenesin-CODEINE Phosphate,0.021966996602714062,14,False
Multivitamins W/minerals Chewable,0.02182653918862343,21,False
Readi-Cat 2 (Barium Sulfate 2% Suspension),0.021774872339197567,42,False
Diltiazem,0.02177331498520967,169,False
Ranolazine ER,0.021771587431430817,17,False
Phosphorus,0.021668750434182583,200,False
Insulin Pump (Self Administering Medication),0.02157074886445816,13,False
Miconazole Powder 2%,0.021545089325971073,45,False
Ipratropium-Albuterol Neb,0.021534019057983404,365,False
Captopril,0.021315732697510848,92,False
Methylnaltrexone,0.021282415398780036,17,False
Desmopressin Acetate,0.021131371713376472,28,False
Lidocaine Jelly 2% (Urojet),0.021129296931984096,29,False
Gastroview (Diatrizoate Meglumine & Sodium),0.021121991926739955,29,False
Doxepin HCl,0.021120119281113146,15,False
MetRONIDAZOLE (FLagyl),0.02105340232019839,23,False
Lorazepam,0.021050055451210466,62,False
Lactulose,0.020945195659305565,389,False
Tuberculin Protein,0.020926130147507556,13,False
Midodrine,0.020695250314063655,167,False
Lansoprazole Oral Disintegrating Tab,0.02055692415507067,84,False
Dronabinol,0.020503355409292615,17,False
Sodium Bicarbonate,0.020465990790071782,178,False
OxyCODONE SR (OxyconTIN),0.02039111043828038,26,False
Sodium Chloride,0.020340869566652833,41,False
Morphine Sulfate (Oral Solution) 2 mg/mL,0.02028342412615364,44,False
Acetylcysteine 20%,0.02021951400092803,32,False
MethylPREDNISolone Sodium Succ,0.02021613846361441,152,False
Fleet Enema (Mineral Oil),0.020197556113764163,31,False
Lidocaine Viscous 2%,0.020186772749114495,26,False
EPINEPHrine (EpiPEN),0.02016341347586025,11,False
Ipratropium Bromide MDI,0.01992585714906454,45,False
Lidocaine-Prilocaine,0.01986402434607347,15,False
LaMIVudine,0.019656938811143238,15,False
Fluconazole,0.01959006062380093,68,False
Sumatriptan Succinate,0.019535883236676453,10,False
Meropenem,0.01938611742348299,109,False
Potassium Chloride (Powder),0.019377042996508578,163,False
Piperacillin-Tazobactam,0.01928565865675882,254,False
Heparin (via Anti-Xa Monitoring),0.01921603037044406,28,False
Nystatin Oral Suspension,0.01915353146504681,53,False
Lidocaine 1%,0.019121996462723324,197,False
Sodium Phosphate,0.019031567786563963,149,False
OLANZapine (Disintegrating Tablet),0.019005151321728003,136,False
Heparin Flush (10 units/ml),0.018939431003713807,538,False
Sodium Zirconium Cyclosilicate,0.018908016109729513,17,False
LeVETiracetam,0.018810412846505642,17,False
Insulin,0.0188027340013029,5645,False
Heparin (Hemodialysis),0.018791073447336323,69,False
HydrALAzine,0.018784782157412597,35,False
NiCARdipine,0.018730943534700645,63,False
sevelamer CARBONATE,0.01871898742335523,163,False
Linezolid,0.01865334811097965,41,False
Nephrocaps,0.018640755857948377,46,False
Calcium Acetate,0.018595663282801125,17,False
PHENObarbital Alcohol Withdrawal Dose Taper (Days 2-7),0.01836627973243594,40,False
Vancomycin,0.018364273411393676,1165,False
Amiodarone,0.018292669270646898,292,False
Doxercalciferol,0.01795508461073041,40,False
Potassium Phosphate Replacement (Oncology),0.017924000095162127,18,False
Phytonadione,0.017904242001339256,166,False
Isosorbide Dinitrate,0.01790083895863618,118,False
AcetaZOLamide,0.017853460919398528,26,False
Cosyntropin,0.017853353172540665,11,False
Furosemide,0.017816412768420508,3167,False
Alteplase,0.017736999318003654,35,False
Heparin Dwell (1000 Units/mL),0.017492726368356262,303,False
Albumin 25%,0.017391759748844538,85,False
Epoetin alfa-epbx (Retacrit),0.017378935176465247,63,False
DAPTOmycin,0.01730933628584209,19,False
Magnesium Sulfate Replacement (Critical Care and Oncology),0.017250684297983057,1070,False
Potassium Chloride Replacement (Critical Care and Oncology) ,0.01722298951327556,973,False
Paricalcitol,0.01708437129855156,16,False
Sodium Polystyrene Sulfonate,0.016905780311445802,49,False
Heparin Flush (1000 units/mL),0.016826006405531092,47,False
Esmolol,0.01671911882502692,14,False
"Alteplase 1mg/2mL ( Clearance ie. PICC, midline, tunneled access line, PA )",0.01670097402836147,38,False
Venetoclax,0.01666157458115507,27,False
Levalbuterol Neb,0.01666126336510244,19,False
Neomycin Sulfate,0.016599288769066335,15,False
CefePIME,0.016568248686804014,550,False
Albumin 25% (12.5g / 50mL),0.01645989010908774,133,False
Calcitonin Salmon,0.016401988298942644,12,False
Octreotide Acetate,0.016380400027868884,53,False
EPINEPHrine,0.016352263593188164,89,False
Lidocaine 1% (For PICC/Midline Insertions),0.01622860376419646,267,False
Dornase Alfa,0.016171463206410407,15,False
Lactulose Enema,0.01600540028885007,40,False
Sodium Chloride 3% Inhalation Soln,0.015998915896158327,44,False
Posaconazole Delayed Release Tablet,0.015775621868669987,15,False
Clozapine,0.015757963455353793,52,False
Niacinamide,0.015682144179230646,21,False
Nitroglycerin,0.015671926693847545,260,False
Mupirocin Ointment 2%,0.01563801706275519,85,False
Bumetanide,0.015562467987983282,131,False
Albumin 5%,0.015534330140419153,49,False
Calcium Gluconate,0.015315745728311398,236,False
Calcium Gluconate sliding scale (Critical Care-Ionized calcium),0.01505867300328572,740,False
"Alteplase 1mg/2mL ( Clearance ie. PICC, tunneled access line, PA )",0.015040983615273779,11,False
Potassium Chloride Replacement (Critical Care and Oncology),0.015007956580715512,977,False
Daptomycin,0.015003538732840256,22,False
PHENYLEPHrine,0.014877221490623373,198,False
Norepinephrine,0.014822620563209057,25,False
CefTAZidime,0.014758693493902682,125,False
Alteplase 1mg/5mL ( Clearance ie. Indwelling port ),0.014734968543052673,15,False
Calcium Gluconate Replacement (Oncology),0.014642295893281698,12,False
Immune Globulin Intravenous (Human),0.014639785335887046,21,False
Ketamine,0.014491257312543252,34,False
Insulin (Regular) for Hyperkalemia,0.014413215078865036,99,False
Hydrocortisone Na Succ.,0.014318390120553155,117,False
Clevidipine,0.014190251100808382,10,False
Artificial Tears GEL 1%,0.014167477287208805,52,False
Tobramycin,0.014146612110463056,11,False
Epoetin Alfa,0.014008713912011849,72,False
Artificial Tear Ointment,0.0138706856717666,45,False
Midazolam,0.013809031319732849,130,False
Vasopressin,0.013751665798706873,124,False
Valproic Acid,0.013675322473952265,33,False
NORepinephrine,0.013671683819270093,287,False
Sodium Chloride 0.9%  Flush for CRRT,0.01355695677921176,26,False
Albumin 5% (12.5g / 250mL),0.013482791948176566,84,False
Heparin (CRRT Machine Priming),0.013464407871166865,30,False
Lidocaine,0.013350438684798203,13,False
Atropine Sulfate 1%,0.013342664111405611,10,False
Propofol,0.01326867842350851,364,False
DOPamine,0.013231236953288317,14,False
Epoprostenol (Veletri),0.013207363653118196,46,False
Chlorhexidine Gluconate 0.12% Oral Rinse,0.013149102342986437,172,False
"Alteplase 1mg/2mL ( Clearance ie. PICC, tunneled access line )",0.013074129680171609,20,False
Divalproex Sod. Sprinkles,0.013070304443438848,15,False
Citrate Dextrose 3% (ACD-A) CRRT,0.013006215194059957,31,False
PHENObarbital - ICU Alcohol Withdrawal (Initial Load / Rescue Dose),0.0130053834291175,16,False
Albumin 5% (25g / 500mL),0.012964820004999638,25,False
Glycopyrrolate (CVICU Reversal Protocol),0.01294977180659771,10,False
Fentanyl Citrate,0.012948474493858062,380,False
Protamine Sulfate,0.012938229599967599,16,False
MetOLazone,0.01284992355587227,28,False
Sodium CITRATE 4%,0.012828440161510593,42,False
PHENYLephrine,0.01277261708771259,142,False
"Lidocaine 1%/Epinephrine 1:100,000",0.012712520143638054,30,False
Mouth Care Oral Rinse,0.012667139499847378,70,False
NiMODipine,0.012652568135629682,17,False
Neostigmine (CVICU Reversal Protocol),0.012630152770064094,11,False
Mannitol,0.012574151015052428,13,False
Insulin Glargine  (CVICU Protocol),0.012573446629636258,83,False
Meperidine,0.012313797287642956,25,False
Metolazone,0.012034097220748663,30,False
Neomycin-Polymyxin-Bacitracin,0.011937832799466218,85,False
Dexmedetomidine,0.011826112087314518,104,False
Chlorothiazide,0.011520748766248716,102,False
Rocuronium,0.011287344688618625,27,False
Micafungin,0.01122883427888155,11,False
DOBUTamine,0.010716615989804269,30,False
Heparin (Impella) – Left ventricle,0.010595442335072317,19,False
Valproate Sodium,0.010517697499105425,33,False
Cisatracurium Besylate,0.01050937631063991,54,False
CRRT,0.010240689540902773,12,False
Milrinone,0.009718734351918102,20,False
Acetylcysteine (IV),0.009433962404727936,15,False
